id,state,reporter,short,start_date,end_date,volumes,official offset,official,nominative,comments
1001,D.C.,"Reports of cases, civil and criminal, argued and adjudged in the Circuit court of the District of Columbia for the county of Washington",Hay. & Haz.,1840,1863,2,,,Hay. & Haz.,"Hayward & Hazelton is single series nominative reporter containing cases from the D.C. Circuit Court.  Per the DC Bar  ""These decisions were not published until 1892 to fill a gap in reported decisions. By then, a new numbering system had been superimposed, and the volumes [of the other circuit court reports] were renumbered 1 D.C. to 21 D.C. However, these two volumes were not included in the new numbering system and must be cited as, for example, 1 Hayward and Hazelton. Chronologically, they fall between 5 D.C. and 6 D.C.""  "
1038,D.C.,United States Court of Appeals for the District of Columbia Circuit,U.S. App. D.C.,1941,0,0,,,,
668,Dakota Territory,Dakota Reports,Dakota,1867,1889,6,,,,
198,Del.,Delaware Reports,Del.,1919,1966,59,,,,
199,Del.,Delaware Cases,Del. Cas.,1792,1830,3,,,,
200,Del.,Delaware Chancery Reports,Del. Ch.,1814,1895,42,,,,
1053,Del.,Delaware Reports,Del. (Harr.),1832,1855,5,1,Del.,Harr.,
1054,Del.,Delaware Reports,Del. (Houst.),1855,1893,10,6,Del.,Houst.,
1055,Del.,Delaware Reports,Del. (Marv.),1893,1897,2,15,Del.,Marv.,
1056,Del.,Delaware Reports,Del. (Penne.),1897,1909,7,17,Del.,Penne.,
1057,Del.,Delaware Reports,Del. (Boyce),1909,1920,7,24,Del.,Boyce.,
309,Fla.,Florida Supplement,Fla. Supp.,1952,1982,49,,,,
312,Fla.,Florida Supplement Second,Fla. Supp. 2d,1983,1992,50,,,,
391,Fla.,Florida Reports,Fla.,1846,1948,160,,,,
179,Ga.,Dudley's Georgia Reports,Dudley Rep.,1830,1833,1,,,,
180,Ga.,Charlton's Reports,Charlton Rep.,1805,1810,1,,,,
181,Ga.,Decisions of the Superior Courts of the State of Georgia,Georgia Decisions,1841,1843,1,,,,
360,Ga.,Georgia Reports,Ga.,1846,1889,293,,,,
519,Ga.,Georgia Appeals Reports,Ga. App.,1907,2013,298,,,,
637,Ga.,Reports of Decisions Made in the Superior Courts of the Eastern District of Georgia,Charlton,1811,1837,1,,,,
638,Ga.,"Georgia reports; justice's courts and miscellaneous cases, 1820 to 1846, reported and edited by Joseph Gault. A verbatim reprint.",Gault,1820,1846,1,,,,
639,Ga.,Georgia Law Reporter,Ga. L. Rep.,1885,1886,1,,,,
695,Ga.,Decisions of the Superior Courts of the state of Georgia,Ga. Super. Ct.,1842,1843,1,,,,
973,Guam,Guam Reports,Guam,1976,1979,2,,,,
423,Haw.,Hawaii Reports,Haw.,1847,1856,71,,,,
439,Haw.,Hawaii Appellate Reports,Haw. App.,1980,1994,10,,,,
697,Haw.,Reports of causes determined in the United States District Court for the District of Hawaii.,D. Haw.,1900,1917,4,,,,
306,Idaho,Idaho Reports,Idaho,1866,1890,155,,,,
315,Ill.,Illinois Appellate Court Reports,Ill. App.,1877,1887,351,,,,
319,Ill.,"Illinois Appellate Court Reports, Second Series",Ill. App. 2d,1953,1971,133,,,,
322,Ill.,"Illinois Appellate Court Reports, Third Series",Ill. App. 3d,1971,2014,409,,,,
528,Ill.,Illinois Reports,Ill.,1819,1954,415,,,,
529,Ill.,"Illinois Reports, Second Series",Ill. 2d,1953,1971,218,,,,
532,Ill.,Illinois Court of Claims Reports,Ill. Ct. Cl.,1889,1923,53,,,,
652,Ill.,Illinois Circuit Court Reports,Ill. Cir. Ct. Rep.,1907,1909,3,,,,
1058,Ill.,Illinois Reports,Ill. (Breese),1819,1831,1,1,Ill.,Breese,
1059,Ill.,Illinois Reports,Ill. (Scam),1832,1843,4,2,Ill.,Scam.,
1060,Ill.,Illinois Reports,Ill. (Gilm.),1844,1849,5,6,Ill.,Gilm.,
272,Ind.,Indiana Reports,Ind.,1847,1903,275,,,,
436,Ind.,Indiana Court of Appeals Reports,Ind. App.,1890,1895,182,,,,
643,Ind.,Blackford,Blackf.,1817,1847,8,,,,
645,Ind.,Smith,Smith,1848,1849,1,,,,
647,Ind.,Reports of Cases Argued and Determined in the Superior Court at Indianapolis,Wilson,1871,1874,1,,,,
646,Ind.,Indiana Law Reporter,Ind. L. Rep.,1881,1881,1,,,,
698,Ind.,Reports of cases decided in the Court of Appeals of Indiana,Ind. App.,1972,1979,31,,,,
474,Iowa,Iowa Reports,Iowa,1855,1890,261,,,,
640,Iowa,Reports of the Decisions of the Supreme Court of Iowa,Bradf.,1838,1841,2,,,,
641,Iowa,Reports of cases argued and Determined in the Supreme Court of Iowa,Morris,1839,1846,1,,,,
642,Iowa,"Reports of Cases in Law and Equity, Determined in the Supreme Court of the State of Iowa",Greene,1847,1854,4,,,,
472,Kan.,Kansas Court of Appeals Reports,Kan. App. 2d,1977,2006,45,,,,
476,Kan.,Kansas Reports,Kan.,1862,2009,291,,,,
699,Kan.,Reports of cases determined in the Supreme court of the territory of Kansas (McCahon),McCahon,1858,1868,1,,,,
700,Kan.,Reports of cases decided in the Courts of Appeals of the state of Kansas,Kan. App.,1895,1901,10,,,,
305,Ky.,Kentucky Reports,Ky.,1879,1951,237,,,,
712,Ky.,"A report of the causes determined by the late Supreme court for the district of Kentucky, and by the Court for appeals, in which titles to land were in dispute",Ky. (Hughes),1785,1801,1,1,Ky.,Hughes,
707,Ky.,"Cases selected from the decisions of the Court of Appeals of Kentucky, not heretofore reported",Ky. (Litt. Sel. Cas.),1795,1821,1,16,Ky.,Litt. Sel. Cas.,
711,Ky.,"Decisions of the Court of Appeals of the state of Kentucky, from March 1st, 1801, to January 18,1805, inclusive",Ky. (Sneed),1801,1805,1,2,Ky.,Sneed,
757,Ky.,Reports of cases argued and adjudged in the Court of Appeals of Kentucky,Ky. (Hard.),1805,1808,1,3,Ky.,Hard.,
709,Ky.,"Reports of cases at common law and in chancery, argued and decided in the Court of Appeals of the commonwealth of Kentucky",Ky. (Bibb),1808,1809,4,4,Ky.,Bibb,
708,Ky.,"Kentucky Court of Appeals (Marshall, A.K.)",Ky. (A.K. Marsh.),1817,1821,3,8,Ky.,A.K. Marsh.,
706,Ky.,"Reports of cases at common law and in chancery, decided by the Court of Appeals of the commonwealth of Kentucky",Ky. (Litt.),1822,1824,5,11,Ky.,Litt.,
705,Ky.,Reports of cases at common law and in equity : argued and decided in the Court of Appeals of the Commonwealth of Kentucky,Ky. (T.B. Mon.),1824,1828,7,17,Ky.,T.B. Mon.,
704,Ky.,"Reports of cases at law and in equity, argued and decided in the Court of Appeals of the commonwealth of Kentucky",Ky. (J.J. Marsh.),1829,1832,7,24,Ky.,J.J. Marsh.,
703,Ky.,Reports of select cases decided in the Court of Appeals of Kentucky during the yearÖ,Ky. (Dana),1833,1840,9,31,Ky.,Dana,
702,Ky.,"Reports of cases at common law and in equity, decided in the Court of Appeals of Kentucky",Ky. (B. Mon.),1840,1857,18,40,Ky.,B. Mon,
701,Ky.,Reports of selected civil and criminal cases decided in the Court of Appeals of Kentucky,Ky. (Met.),1858,1863,4,58,Ky.,Met.,
710,Ky.,Reports of selected civil and criminal cases decided in the Court of Appeals of Kentucky,Ky. (Duv.),1863,1866,2,62,Ky.,Duv.,
1029,Ky.,Reports of selected civil and criminal cases decided in the Court of Appeals of Kentucky,Ky. (Bush),1866,1879,14,64,Ky.,Bush,
713,Ky.,"Kentucky Opinions, containing the unreported opinions of the Court of Appeals",Ky. Op.,1864,1886,13,,,,
339,La.,Louisiana Reports,La.,1901,1972,159,,,,
343,La.,Louisiana Court of Appeals Reports,La. App.,1924,1932,19,,,,
993,La.,Martin (Louisiana Term Reports),Mart. (n.s.),1809,1830,0,,,,Martin (n.s)  is Martin new series a single series. It was not renamed/renumbered.
992,La.,Martin (Louisiana Term Reports),Mart. (o.s.),1809,1830,0,,,,Martin (o.s.) is Martin Old Series. It was not renamed/renumbered
722,La.,"Teissier's digest of the unreported decisions of the Court of appeal, Orleans Parish, from October 15th, 1917, to July 31st, 1922",La. App. (Teiss.),1917,1922,1,,,,Teissier's is a single series. It wasn't renamed or renumbered
721,La.,Reports of cases argued and determined in the various Courts of Appeal of the state of Louisiana (McGloin),McGl.,1881,1884,2,,,,
723,La.,"Peltier's decisions, Court of Appeal, Parish of Orleans (Peltier)",Pelt.,1917,1923,7,,,,
724,La.,"Decisions, Court of Appeal, parish of Orleans (Teissier)",Teiss.,1903,1917,14,,,,
725,La.,Legal points decided by the Second circuit court of Louisiana (Gunby's Reports),Gunby,1885,1885,1,,,,
726,La.,"Unreported cases heard and determined by the Supreme Court of Louisiana, from January 8, 1877, to April, 1880",Mann. Unrep. Cas.,1877,1880,1,,,,
997,La.,Robinson,Rob.,1841,1846,12,,,,
998,La.,Louisiana Annual Reports,La. Ann.,1846,1900,52,,,,
1030,La.,Louisiana Reports,La.,1830,1841,19,,,,
568,Mass.,Massachusetts Appeals Court Reports,Mass. App. Ct.,1972,2008,84,,,,
478,Mass.,Massachusetts Reports,Mass.,1804,2016,466,,,,
576,Mass.,Reports of Massachusetts Appellate Division,Mass. App. Div.,1936,1937,16,,,,
578,Mass.,Massachusetts Reports Supplement,Mass. Supp.,1980,1983,4,,,,
579,Mass.,Massachusetts Appellate Decisions,Mass. App. Dec.,1941,1977,59,,,,
580,Mass.,Reports of Massachusetts Appellate Division (Annual),Mass. App. Div.,1980,2014,35,,,,
1064,Mass.,Massachusetts Reports,Mass. (Will.),1804,1805,1,1,Mass.,Will.,
1065,Mass.,Massachusetts Reports,Mass. (Tyng),1805,1822,16,2,Mass.,Tyng,
736,Mass.,"Reports of cases argued and adjudged in the Superior Court of Judicature of the Province of Massachusetts Bay, between 1761 and 1772",Super. Ct. Jud.,1761,1772,1,,,,
737,Mass.,"Records of the Court of assistants of the colony of the Massachusetts bay, 1630-1692",Rec. Ct. Assistants,1630,1692,3,,,,
738,Mass.,"Reports of controverted elections in the House of representatives, of the commonwealth of Massachusetts...",Rep. Cont. El.,1780,1852,1,,,,
739,Mass.,Reports of contested election cases in the Senate and House of Representatives of the commonwealth of Massachusetts for the year 1886-1897,Rep. Cont. Elect. Case.,1886,1897,1,,,,
740,Mass.,"Records of the Court of General Sessions of the Peace for the County of Worcester, Massachusetts, from 1731 to 1737",Rec. Ct. Gen. Sess.,1731,1737,1,,,,
741,Mass.,"Records and files of the Quarterly Courts of Essex County, Massachusetts",Rec. Q. Ct.,1911,1975,9,,,,
742,Mass.,"Records of the Suffolk county court, 1671-1680",Rec. Co. Ct.,1671,1680,2,,,,
743,Mass.,"Massachusetts Land Court decisions, 1898-1908",Davis L. Ct. Cas.,1898,1908,1,,,,
988,Mass.,Massachusetts Reports,Mass. (Pick.),1822,1839,24,18,Mass.,Pick.,
1066,Mass.,Massachusetts Reports,Mass. (Met.),1840,1847,13,42,Mass.,Met.,
758,Mass.,Massachusetts Land Court Decisions (Davis),Davis L. Ct. Cas.,1898,1908,1,,,,
987,Mass.,Massachusetts Reports,Mass. (Cush),1848,1853,14,55,Mass.,Cush.,
1067,Mass.,Massachusetts Reports,Mass. (Gray),1854,1860,17,67,Mass.,Gray,
569,Mass.,Massachusets Reports,Mass. (Allen),1861,1867,14,83,Mass.,Allen,
1074,Mass.,The Massachusetts law reporter.,Mass. Law Rep.,1993,0,0,,,,
521,Md.,Maryland Appellate Reports,Md. App.,1967,2013,216,,,,
524,Md.,Maryland Reports,Md.,1851,0,437,,,,
727,Md.,Reports of cases argued and determined in the Court of Appeals of Maryland,Gill,1843,1851,9,,,,
728,Md.,Reports of cases argued and determined in the Court of Appeals of Maryland,G. & J.,1829,1841,12,,,,
729,Md.,Harris and Gill,H. & G.,1826,1829,2,,,,
731,Md.,"Reports of cases argued and determined in the General Court and Court of Appeals of the State of Maryland, form 1800 ... [to 1826]",H. & J.,1800,1826,7,,,,
732,Md.,"Maryland reports, being a series of the most important law cases argued and determined in the Provincial Court and Court of Appeals of the then province of Maryland, from the year 1700 [i.e. 1658] down to the [end of 1799]",H. & McH.,1770,1799,4,,,,
733,Md.,Reports of cases decided in the High Court of Chancery of Maryland : containing cases from the year 1847 to [1854],Md. Ch.,1851,1854,4,,,,
734,Md.,Reports of cases decided in the High court of chancery of Maryland. [1811-1832],Md. Ch.,1811,1832,3,,,,
735,Md.,"Baltimore city reports, comprising opinions of the various courts of Baltimore city since 1888...",Balt. C. Rep.,1888,1928,4,,,,
467,Me.,Maine Reports,Me.,1820,1965,160,,,,
520,Mich.,Michigan Reports,Mich.,1847,2013,494,,,,
744,Mich.,Reports of cases argued and determined in the Supreme Court of the state of Michigan,Doug.,1843,1847,2,,,,
745,Mich.,"Unreported opinions of the Supreme court of Michigan, 1836-1843, edited by William Wirt Blume",Blume Unrep. Op.,1836,1843,1,,,,
746,Mich.,Transactions of the Supreme Court of the territory of Michigan,Blume Sup. Ct. Trans.,1805,1836,6,,,,
747,Mich.,Michigan appeals reports; cases decided in the Michigan Court of Appeals.,Mich. App.,1965,2016,310,,,,
748,Mich.,Report of the Court of Claims,Mich. Ct. Cl.,1939,1942,10,,,,
749,Mich.,"Practice reports. Cases decided in the Supreme court of Michigan in 1896, in which written opinions were not filed.",Mich. Pr.,1896,1896,1,,,,
759,Mich.,Mandamus cases decided in the Supreme court of Michigan,McGrath,1891,1897,1,,,,
760,Mich.,"Michigan nisi prius cases, decided by the state and federal courts in Michigan",Howell N.P.,1868,1884,1,,,,
761,Mich.,Reports of cases argued and determined in the court of chancery of the state of michigan,Walk. Ch.,1842,1845,1,,,,
762,Mich.,The Michigan Nisi Prius Reports,Mich. N.P. R.,1870,1871,2,,,,
763,Mich.,Reports of Cases Determined in the Court of Chancery of the State of Michigan,Harr. Ch.,1838,1842,1,,,,
394,Minn.,Minnesota Reports,Minn.,1851,1977,312,,,,
283,Miss.,Mississippi Reports,Miss.,1851,1966,254,,,,
765,Miss.,Reports of cases decided in the Superior Court of Chancery of the state of Mississippi,Freem. Ch.,1839,1843,1,,,,
766,Miss.,Mississippi State Cases; being criminal cases decided in the High court of errors and appeals,Mor. St. Cas.,1818,1872,2,,,,
767,Miss.,Mississippi Decisions: containing the unreported opinions of the Supreme Court of Mississippi,Miss. Dec.,1820,1885,2,,,,
768,Miss.,"Mississippi Court Records from the files of the High Court of Errors and Appeals, 1799-1859",Miss. Ct. Rec.,1799,1859,1,,,,
1061,Miss.,Mississippi Reports,Miss. (Walker),1818,1832,1,1,Miss.,Walker,
1062,Miss.,Mississippi Reports,Miss. (Howard),1834,1843,6,2,Miss.,Howard,
764,Miss.,Reports of cases argued and determined in the superior court of chancery of the state of mississippi,Miss. (S. & M. Ch.),1840,1843,1,,,,This is a single series and wasn't renumbered/renamed
1063,Miss.,Mississippi Reports,Miss. (S. & M.),1843,1850,15,9,Miss.,S. & M.,
398,Mo.,Missouri Appeal Reports,Mo. App.,1876,1878,240,,,,
673,Mo.,Missouri Reports,Mo.,1843,1891,365,,,,
289,Mont.,Montana Reports,Mont.,1868,1890,374,,,,
1031,N. Mar. I.,Northern Mariana Islands Reporter,N. Mar. I.,1989,0,5,,,,
974,N. Mar. I.,Northern Mariana Islands Commonwealth Reporter,N. Mar. I. Commw.,1979,0,3,,,,
365,N.C.,North Carolina Court of Appeals Reports,N.C. App.,1968,2008,211,,,,
549,N.C.,North Carolina Reports,N.C.,1868,2013,364,,,,
191,N.C.,Martin,N.C. (Mart.),1778,1797,1,1,N.C.,Mart.,
769,N.C.,North Carolina Reports (Haywood),N.C. (Hayw.),1789,1806,2,2,N.C.,Hayw.,
185,N.C.,North Carolina Reports (Taylor),N.C. (Tay.),1798,1802,1,1,N.C.,Tay.,
562,N.C.,Conference by Cameron & Norwood,N.C. (Cam. & Nor.),1800,1804,1,1,N.C.,Cam. & Nor.,
1002,N.C.,North Carolina Reports (Murphey),N.C. (Mur.),1804,1819,3,5,N.C.,Mur.,
183,N.C.,Carolina Law Repository,N.C. (Car. L. Rep.),1813,1816,2,4,N.C.,Car. L. Rep. ,
186,N.C.,Taylor's North Carolina Term Reports,N.C. (Taylor),1816,1818,1,4,N.C.,Taylor,
1003,N.C.,North Carolina Reports (Hawks),N.C. (Hawks),1820,1826,4,8,N.C.,Hawks,
1006,N.C.,North Carolina Reports (Devereux's Law),N.C. (Dev.),1826,1834,4,12,N.C.,Dev.,
1007,N.C.,North Carolina Reports (Devereux's Equity),N.C. (Dev. Eq.),1826,1834,2,16,N.C.,Dev. Eq.,
1008,N.C.,North Carolina Reports (Devereux & Battle's Law),N.C. (Dev. & Bat.),1834,1839,3,18,N.C.,Dev. & Bat.,
1009,N.C.,North Carolina Reports (Devereux & Battle's Equity),N.C. (Dev. & Bat. Eq.),1834,1839,2,21,N.C.,Dev. & Bat. Eq.,
1004,N.C.,North Carolina Reports (Iredell's Equity),N.C. (Ired. Eq.),1840,1852,8,36,N.C.,Ired. Eq.,
1005,N.C.,North Carolina Reports (Iredell's Law),N.C. (Ired.),1840,1852,13,23,N.C.,Ired.,
1011,N.C.,North Carolina Reports (Busbee's Equity),N.C. (Busb. Eq),1852,1853,1,45,N.C.,Busb. Eq.,
1010,N.C.,North Carolina Reports (Busbee's Law),N.C. (Busb.),1852,1853,1,44,N.C.,Busb.,
1012,N.C.,North Carolina Reports (Jones' Law),N.C. (Jones),1853,1862,8,46,N.C.,Jones,
1013,N.C.,North Carolina Reports (Jones' Equity),N.C. (Jones Eq.),1853,1863,6,54,N.C.,Jones Eq.,
1014,N.C.,North Carolina Reports (Winston),N.C. (Win.),1863,1864,1,60,N.C.,Win.,
1015,N.C.,North Carolina Reports (Phillips' Law),N.C. (Phil.),1866,1868,1,61,N.C.,Phil.,
1016,N.C.,North Carolina Reports (Phillips' Equity),N.C. (Phil. Eq.),1866,1868,1,62,N.C.,Phil. Eq.,
286,N.D.,North Dakota Reports,N.D.,1890,1953,79,,,,
489,N.H.,New Hampshire Reports,N.H.,1816,1842,164,,,,
671,N.H.,"Decisions of the Superior and Supreme Courts of New Hampshire, from 1802 to 1809, and from 1813 to 1816.",Smith,1802,1816,1,,,,
299,N.J.,New Jersey Superior Court Reports,N.J. Super.,1948,2009,435,,,,
324,N.J.,New Jersey Miscellaneous Reports,N.J. Misc.,1923,1949,26,,,,
550,N.J.,New Jersey Tax Court Reports,N.J. Tax Ct.,1979,2009,24,,,,
551,N.J.,New Jersey Law Reports,N.J.L.,1790,1948,137,,,,
558,N.J.,New Jersey Reports,N.J.,1949,2012,217,,,,
559,N.J.,New Jersey Equity Reports,N.J. Eq.,1830,1948,142,,,,
770,N.J.,Journal of the Courts of Common Rights and Chancery of East New Jersey,Edsall,1683,1702,1,,,,
670,N.J.,The Burlington Court Book,N.J. (Burlington County Ct.),1680,1709,1,,,,This is a standalone book 
669,N.J.,Cases Adjudged in the Supreme Court of New-Jersey Relative to the Manumission of Negroes and Others Holden in Bondage,N.J. (Manumission),1775,1793,1,,,,This is a standalone book 
554,N.M.,New Mexico Reports,N.M.,1852,2012,149,,,,
1028,N.M.,New Mexico Appellate Reports,N.M.,1967,2012,0,,,,
1,N.Y.,Edwards' Chancery Reports,Edw. Ch.,1831,1850,4,,,,
2,N.Y.,Barbour's Chancery Reports,Barb. Ch.,1845,1848,3,,,,
3,N.Y.,Sandford's Chancery Reports,Sand. Ch.,1843,1847,4,,,,
4,N.Y.,Saratoga Chancery Sentinel,Sarat. Ch. Sent.,1841,1847,1,,,,
5,N.Y.,Paige's Chancery Reports,Paige Ch.,1828,1845,11,,,,
6,N.Y.,Clarke's Chancery Reports,Cl. Ch.,1839,1841,1,,,,
7,N.Y.,Hoffman's Chancery Reports,Hoff. Ch.,1839,1840,1,,,,
8,N.Y.,Hopkins' Chancery Reports,Hopk. Ch.,1823,1826,1,,,,
9,N.Y.,Lansing's Chancery Reports,Lans. Ch.,1824,1826,1,,,,
10,N.Y.,Johnson's Chancery Reports,Johns. Ch.,1814,1823,7,,,,
20,N.Y.,New York Reports,N.Y.,1877,1956,309,,,,
21,N.Y.,New York Reports,N.Y. 2d,1956,2003,100,,,,
22,N.Y.,New York Reports,N.Y.3d,2004,2009,22,,,,
23,N.Y.,Abbott's New Cases,Abb.N. Cas.,1876,1894,32,,,,
29,N.Y.,Abbott's Practice Reports,Abb. Pr.,1854,1875,19,,,,
35,N.Y.,Howard's Practice Reports,How. Pr.,1844,1846,67,,,,
65,N.Y.,New York Miscellaneous Reports,Misc.,1892,1942,208,,,,
77,N.Y.,New York Miscellaneous Reports,Misc.2d,1956,2004,196,,,,
83,N.Y.,New York Miscellaneous Reports,Misc.3d,2004,2016,42,,,,
89,N.Y.,West's New York Supplement,N.Y.S.,1888,1938,0,,,,
95,N.Y.,West's New York Supplement,N.Y.S. 2d,1938,1987,0,,,,
101,N.Y.,West's New York Supplement,N.Y.S. 2d,1988,2009,0,,,,
107,N.Y.,Appellate Division Reports,A.D.,1896,1955,286,,,,
108,N.Y.,Appellate Division Reports,A.D.2d,1956,2003,309,,,,
109,N.Y.,Appellate Division Reports,A.D.3d,2004,2009,115,,,,
110,N.Y.,Supreme Court Reports (Hun),N.Y. Sup. Ct.,1868,1896,92,,,,
111,N.Y.,Lansing's Reports,Lans.,1869,1873,7,,,,
112,N.Y.,Barbour's Supreme Court Reports,Barb.,1847,1877,67,,,,
113,N.Y.,Lockwood's Reversed Cases,Lock. Rev. Cas.,1799,1847,1,,,,
114,N.Y.,Denio's Reports,Denio,1845,1848,5,,,,
115,N.Y.,Hill and Denio Supplement (Labor),Hill & Den.,1842,1844,1,,,,
116,N.Y.,Hill's Reports,Hill,1841,1844,7,,,,
117,N.Y.,Edmond's Select Cases,Edm. Sel. Cas.,1834,1853,2,,,,
118,N.Y.,Yates Select Cases,Yates Sel. Cas.,1809,1809,1,,,,
119,N.Y.,Anthon's Nisi Prius Cases,Ant. N.P. Cas.,1808,1851,1,,,,
120,N.Y.,Wendell's Reports,Wend.,1828,1841,26,,,,
121,N.Y.,Cowen's Reports,Cow.,1823,1829,8,,,,
122,N.Y.,Johnson's Reports,Johns.,1806,1823,18,,,,
123,N.Y.,Caines' Reports,Cai.,1796,1805,3,,,,
124,N.Y.,Caines' Cases,Cai. Cas.,1796,1805,2,,,,
125,N.Y.,Coleman & Caines' Cases,Cole. & Cai. Cas.,1794,1805,1,,,,
